Ticker;Name;Yahoo;ISIN;Symbol;YahooSymbol;Sektor;Country;Sector;Industry;Currency
9880.HK;UBTECH ROBOT.CORP.;9880.HK;CNE100006CQ4;9880.HK;9880.HK;Hardware 💻;;;;HKD
3750.HK;CONT.AMPEREX (CATL);3750.HK;CNE100006WS8;3750.HK;3750.HK;Energie;;;;HKD
DB1.DE;DEUTSCHE BANK;DB1.DE;DE0005140008;DB1.DE;DB1.DE;Finanzen;;;;EUR
FME.DE;FRESEN.MED.CARE;FME.DE;DE0005785802;FME.DE;FME.DE;Pharma & Gesundheit;;;;USD
TTK.DE;TAKKT AG;TTK.DE;DE0007446007;TTK.DE;TTK.DE;Medien & Digitales 📱;;;;USD
ENR.DE;SIEMENS ENERGY;ENR.DE;DE000ENER6Y0;ENR.DE;ENR.DE;Energie;;;;USD
NOVO-B.CO;NOVO-NORDISK;NOVO-B.CO;DK0062498333;NOVO-B.CO;NOVO-B.CO;Pharma & Gesundheit;;;;DKK
RI.PA;PERNOD RICARD;RI.PA;FR0000120693;RI.PA;RI.PA;Konsum & Lifestyle;;;;EUR
MC.PA;LVMH EO;MC.PA;FR0000121014;MC.PA;MC.PA;Konsum & Lifestyle;;;;EUR
SN.L;SMITH + NEP. DL;SN.L;GB0009223206;SN.L;SN.L;Hardware 💻;;;;GBp
FRES.L;FRESNILLO PLC;FRES.L;GB00B2QPKJ12;FRES.L;FRES.L;Edelmetalle ⛏️;;;;GBp
YCA.L;YELLOW CAKE PLC;YCA.L;JE00BF50RG45;YCA.L;YCA.L;Energie;;;;GBp
6861.T;KEYENCE CORP.;6861.T;JP3236200006;6861.T;6861.T;Hardware 💻;;;;JPY
6503.T;MITSUBISHI EL.;6503.T;JP3902400005;6503.T;6503.T;Hardware 💻;;;;JPY
0700.HK;TENCENT HLDGS;0700.HK;KYG875721634;0700.HK;0700.HK;Gehirn;;;;HKD
1810.HK;XIAOMI CORP. CL.B;1810.HK;KYG9830T1067;1810.HK;1810.HK;Hardware 💻;;;;HKD
SPOT;SPOTIFY TECH.;SPOT;LU1778762911;SPOT;SPOT;Medien & Digitales 📱;;;;USD
AAPL;Apple Inc.;AAPL;US0378331005;AAPL;AAPL;;United States;Technology;Consumer Electronics;USD
APLD;Applied Digital;APLD;US0381692070;APLD;APLD;Tech 💻;;;;USD
CPB;CAMPBELLS CO.;CPB;US1344291091;CPB;CPB;Konsum & Lifestyle;;;;USD
CDNL;Cardinal Infrastructure;CDNL;US14154A1025;CDNL;CDNL;;;;;USD
CNC;CENTENE CORP.;CNC;US15135B1017;CNC;CNC;Pharma & Gesundheit;;;;USD
COIN;COINBASE GLB.;COIN;US19260Q1076;COIN;COIN;Krypto-Infrastruktur 🪙;;;;USD
FLNC;FLUENCE ENER.;FLNC;US34379V1035;FLNC;FLNC;Experimente;;;;USD
FIGR;Figure Technology Solutions;FIGR;US3493811034;FIGR;FIGR;Finanzen 🏦;;;;USD
GMED;Globus Medical;GMED;US3795772082;GMED;GMED;Pharma 🧪;;;;USD
HL;HECLA MNG;HL;US4227041062;HL;HL;Edelmetalle ⛏️;;;;USD
INCY;INCYTE DL;INCY;US45337C1027;INCY;INCY;Pharma & Gesundheit;;;;USD
INGR;INGREDION INC;INGR;US4571871023;INGR;INGR;Konsum & Lifestyle;;;;USD
JD;JD.COM ADR;JD;US47215P1066;JD;JD;E-Commerce;;;;USD
KEP;KOREA EL. PWR ADR 1/2;KEP;US5006311063;KEP;KEP;Energie;;;;USD
LKNCY;LUCKIN COFFEE;LKNCY;US54951L1098;LKNCY;LKNCY;Konsum & Lifestyle;;;;USD
LUMN;LUMEN TECHN.;LUMN;US5502411037;LUMN;LUMN;Medien & Digitales 📱;;;;USD
MA;MASTERCARD INC;MA;US57636Q1040;MA;MA;Finanzen;;;;USD
MBLY;Mobileye Global;MBLY;US60741F1049;MBLY;MBLY;Tech 💻;;;;USD
NFLX;NETFLIX INC.;NFLX;US64110L1061;NFLX;NFLX;Medien & Digitales 📱;;;;USD
NKE;NIKE INC. B;NKE;US6541061031;NKE;NKE;Konsum & Lifestyle;;;;USD
MNSO;MINISO GRP ADS;MNSO;US66981J1025;MNSO;MNSO;Konsum & Lifestyle;;;;USD
OXY;OCCIDENTAL PET.;OXY;US6745991058;OXY;OXY;Energie;;;;USD
ON;ON SEMICOND.;ON;US6821891057;ON;ON;Gehirn;;;;USD
OGN;ORGANON + CO.;OGN;US68622V1061;OGN;OGN;Pharma & Gesundheit;;;;USD
PKX;POSCO HOL.ADR;PKX;US6934831099;PKX;PKX;Fundament;;;;USD
PYPL;PAYPAL HDGS;PYPL;US70450Y1038;PYPL;PYPL;Finanzen;;;;USD
PFE;PFIZER INC.;PFE;US7170811035;PFE;PFE;Pharma & Gesundheit;;;;USD
QS;QUANTUMSCAPE A;QS;US74767V1098;QS;QS;Experimente;;;;USD
RCAT;Red Cat Holdings;RCAT;US75644T1007;RCAT;RCAT;;;;;USD
RLNIY;RELIANCE INDS;RLNIY;US7594701077;RLNIY;RLNIY;Experimente;;;;USD
XSDG.F;SAMSUNG SDI;XSDG.F;US7960542030;XSDG.F;XSDG.F;Energie;;;;EUR
TTAN;ServiceTitan;TTAN;US81764X1037;TTAN;TTAN;Tech 💻;;;;USD
SQ;BLOCK INC. A;SQ;US8522341036;SQ;SQ;Fintech;;;;USD
TSMN.MX;TAIWAN SEMICON.MANU.ADR/5;TSMN.MX;US8740391003;TSMN.MX;TSMN.MX;Gehirn;;;;MXN
TEM;Tempus AI;TEM;US88023B1035;TEM;TEM;Pharma 🧪;;;;USD
TSLA;Tesla;TSLA;US88160R1014;TSLA;TSLA;Tech 💻;;;;USD
UAA;UNDER ARMOUR;UAA;US9043111072;UAA;UAA;Konsum & Lifestyle;;;;USD
UNH;UNITEDHEALTH;UNH;US91324P1021;UNH;UNH;Pharma & Gesundheit;;;;USD
ZETA;ZETA GLOBAL;ZETA;US98956A1051;ZETA;ZETA;Medien & Digitales 📱;;;;USD
