Ticker,Name,Yahoo,ISIN,Symbol,YahooSymbol,Akt. Kurs,Währung,Perf %,Score,CRV,Elliott-Signal,Elliott-Einstieg,Elliott-Ausstieg,MC-Chance,Zyklus %,Zyklus-Status,ROE %,Debt/Equity,Div. Rendite %,FCF,Enterprise Value,Revenue,FCF Yield %,Growth %,Margin %,Rule of 40,Current Ratio,Institutional Ownership %,Radar Vector,PE,ConfidenceScore,ConfidenceLabel,ConfidenceBreakdown,Sektor,Akt. Kurs [€],Volatility,DownsideDev,MaxDrawdown,AvgVolume,DollarVolume,SMA200,Trend200,MarketRegimeStock,MarketTrend200Stock,MarketRegimeCrypto,MarketTrend200Crypto,MarketDate,RS3M,Sector,Industry,Country,Currency,Perf 1D %,Perf 1Y %
CA11777Q2099,B2GOLD CORP.,BTO.TO,CA11777Q2099,BTO.TO,BTO.TO,8.380000114440918,CAD,122.51673959117956,0.0,0.0,Seitwärts,0.0,0.0,71.4,64.9,Zyklus-neutral,7.23,18916.0,145.0,45092624.0,10475671552.0,2507048960.0,0.43,74.7,8.75,83.45,1034.0,66.1,"[100.0, 14.46, 0.0, 35.11, 31.38]",6.9789095,28.2,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.2, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.2214765100671141, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Edelmetalle ⛏️,7.47,0.5081606549547069,0.3778599999252778,0.3557691920244926,8659419.3,72565934.7249919,5.945256922245026,0.40952699337281,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.362809078086292,Basic Materials,Gold,Canada,CAD,-1.0625755578572371,122.51673959117956
CA06849F1080,BARRICK MINING,ABX.TO,CA06849F1080,ABX.TO,ABX.TO,69.20999908447266,CAD,175.30810768814757,0.0,0.0,Seitwärts,0.0,0.0,78.7,31.3,Zyklus-neutral,20.68,14509.0,360.0,4054125056.0,114651471872.0,16956000256.0,3.54,64.5,29.45,93.95,2922.0,63.7,"[100.0, 41.36, 0.0, 68.68, 29.71]",11.472485,41.3,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.6, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.5302013422818792, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Edelmetalle ⛏️,70.41,0.4062828383394894,0.3244211212653151,0.1632340584832474,8976299.5,621249680.1769524,45.264470176696776,0.5290137897185332,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.2403935325758042,Basic Materials,Gold,Canada,CAD,0.4790967540845958,175.30810768814757
DE000BAY0017,BAYER AG,BAYN.DE,DE000BAY0017,BAYN.DE,BAYN.DE,42.0099983215332,EUR,85.5878988941069,0.0,0.0,Seitwärts,0.0,0.0,75.2,6.7,Zyklus-Tief,-0.57,133457.0,24.0,5172499968.0,77877329920.0,45866000384.0,6.64,-3.1,-0.43,-3.53,1136.0,53.31,"[0.0, 0.0, 0.0, 93.29, 15.79]",9.665203,25.3,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.0, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.43624161073825496, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Pharma & Gesundheit,46.74,0.3952829030201904,0.2589743606292489,0.2167370868053767,3574056.25,150146097.06356525,31.331575088500976,0.3408198663127959,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.4789447585800361,Healthcare,Drug Manufacturers - General,Germany,EUR,0.394305403314088,85.5878988941069
BTC,BITCOIN (KRYPTO),BTC-EUR,BTC,BTC-EUR,BTC-EUR,55406.59765625,EUR,-32.010676710974806,0.0,0.0,Seitwärts,0.0,0.0,37.0,34.6,Zyklus-neutral,0.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 65.43, 25.0]",0.0,50.0,MED,{},Kryptowährungen 🪙,88616.28,0.3882118032666852,0.2948587858068805,0.5002467205670503,33336602757.7,1847067736222118.5,83513.06486328125,-0.3365517389769396,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,-0.0024145804377861,Cryptocurrency,Digital Currency,Global,EUR,-3.04760398393652,-32.010676710974806
US8522341036,BLOCK INC. A,XYZ,US8522341036,XYZ,XYZ,63.70000076293945,USD,-2.4502330996067023,0.0,0.0,Seitwärts,0.0,0.0,41.0,35.8,Zyklus-neutral,14.69,36049.0,0.0,241061248.0,34101551104.0,23973765120.0,0.71,2.3,13.08,15.38,2183.0,81.62,"[4.6, 29.38, 0.0, 64.15, 39.94]",17.737028,19.9,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.0, ""risk_clean"": 0.0, ""regime_align"": 0.0, ""liquidity"": 0.5570469798657718, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Fintech,64.75,0.5497435806029,0.4317253399862657,0.3947725338036449,11250827.3,716677707.5937,68.08094997406006,-0.0643491198755279,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,-0.0327181369690295,Technology,Software - Infrastructure,United States,USD,16.81643533636774,-2.4502330996067023
CA13321L1085,CAMECO CORP.,CCJ,CA13321L1085,CCJ,CCJ,118.4000015258789,USD,169.36996648350728,0.0,0.0,Seitwärts,0.0,0.0,73.6,23.1,Zyklus-neutral,8.1,14854.0,15.0,787334656.0,51645775872.0,3464176128.0,1.52,-14.7,15.18,0.48,2991.0,70.09,"[0.0, 16.2, 0.0, 76.9, 0.0]",82.52247,25.2,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.2, ""risk_clean"": 0.0, ""regime_align"": 0.0, ""liquidity"": 0.5906040268456376, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Energie,125.9,0.5287124705725889,0.2960556410409786,0.2569450874634099,4356509.35,515810713.68750566,86.47777711868287,0.3691378926563491,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.3235130063230194,Energy,Uranium,Canada,USD,0.1861577425410487,169.36996648350728
US1344291091,CAMPBELLS CO.,CPB,US1344291091,CPB,CPB,26.950000762939453,USD,-29.314521708618525,0.0,0.0,Seitwärts,0.0,0.0,40.1,100.0,Zyklus-Hoch,14.82,184567.0,535.0,630499968.0,15831613440.0,10158000128.0,3.98,-3.4,5.69,2.29,819.0,65.77,"[0.0, 29.64, 0.0, 0.0, 23.49]",11.27821,25.7,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.0, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.47651006711409394, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Konsum & Lifestyle,27.25,0.286793337451018,0.1848126690131517,0.353429215879312,6645774.8,179103635.93032378,30.163999252319336,-0.1065508078850901,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,-0.1076270660620096,Consumer Defensive,Packaged Foods,United States,USD,0.3350712976276204,-29.314521708618525
US15135B1017,CENTENE CORP.,CNC,US15135B1017,CNC,CNC,44.880001068115234,USD,-22.83356054700503,0.0,0.0,Seitwärts,0.0,0.0,40.7,16.9,Zyklus-Tief,-28.68,86762.0,0.0,5197749760.0,16662495232.0,176151003136.0,31.19,23.1,-3.79,19.31,1.1,96.84,"[46.2, 0.0, 0.0, 83.06, 26.02]",9.792917,24.3,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.2, ""risk_clean"": 0.0, ""regime_align"": 0.0, ""liquidity"": 0.5033557046979866, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Pharma & Gesundheit,41.68,0.5981836410561628,0.6403200194028528,0.6078706062300907,6211284.5,278762454.9943676,39.40279995918274,0.1390053781611031,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.1250882682171632,Healthcare,Healthcare Plans,United States,USD,4.542279872065014,-22.83356054700503
US1924221039,COGNEX CORP.,CGNX,US1924221039,CGNX,CGNX,54.400001525878906,USD,67.1891858494832,64.58,1.15,BUY,42.33,48.59,56.8,94.1,Zyklus-Hoch,7.21,5298.0,78.0,180942256.0,7082582016.0,971705024.0,2.55,18.0,11.33,29.33,3964.0,100.6,"[36.0, 14.42, 0.0, 25.87, 10.85]",38.553066,,,,Hardware 💻,39.72,0.6028203648835303,0.3484283034030763,0.3149838836717381,3044101.1,165599104.48492965,39.534060630798336,0.3760286866029521,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.4135557977185384,Technology,Scientific & Technical Instruments,United States,USD,-1.7341023733535632,67.1891858494832
US19260Q1076,COINBASE GLB.,COIN,US19260Q1076,COIN,COIN,175.85000610351562,USD,-18.444480991689684,0.0,0.0,Seitwärts,0.0,0.0,40.6,34.0,Zyklus-neutral,26.0,48559.0,0.0,-1097911808.0,41830793216.0,7370428928.0,-2.62,58.9,43.66,102.56,2404.0,67.14,"[100.0, 52.0, 0.0, 65.97, 63.27]",25.270573,37.0,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.6, ""risk_clean"": 0.0, ""regime_align"": 0.0, ""liquidity"": 0.7718120805369127, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Krypto-Infrastruktur 🪙,211.68,0.7627745982052508,0.4648655107712923,0.6638953815137105,15469236.95,2720265412.074229,288.2096503448486,-0.3898538584911797,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,-0.3486060110947856,Financial Services,Financial Data & Stock Exchanges,United States,USD,-2.8774944909584987,-18.444480991689684
CNE100006WS8,CONT.AMPEREX (CATL),3750.HK,CNE100006WS8,3750.HK,3750.HK,496.0,HKD,62.41623829814449,0.0,0.0,Seitwärts,0.0,0.0,73.2,82.0,Zyklus-Hoch,22.14,37135.0,22.0,48903442432.0,2110351081472.0,386039808000.0,2.32,12.9,16.52,29.42,1684.0,57.34,"[25.8, 44.28, 0.0, 17.96, 23.92]",23.25123,38.4,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.4, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.7449664429530202, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Energie,467.0,0.4007916052685405,0.2348429410885854,0.2383292383292383,2307562.8,1144551148.8,,,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,-0.0274685873601419,Industrials,Electrical Equipment & Parts,China,HKD,-0.4815397122542642,62.41623829814449
DE0005140008,DEUTSCHE BANK,DB1.DE,DE0005140008,DB1.DE,DB1.DE,232.3999938964844,EUR,-6.699424590238545,55.08,0.0,Seitwärts,0.0,0.0,42.2,59.0,Zyklus-neutral,19.48,54664.0,189.0,0.0,1.0,7302400000.0,0.0,4.2,27.59,31.79,1009.0,64.75,"[8.4, 38.96, 0.0, 41.03, 28.01]",17.867914,,,,Finanzen,33.53,0.243024324228088,0.1835347772125894,0.2960801131219616,492098.55,114363700.0164688,238.60350021362305,-0.0259992259609965,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.0176876387977269,Financial Services,Financial Data & Stock Exchanges,Germany,EUR,2.6048538174323843,-6.699424590238545
CA2546771072,DISCOVERY SILVER,DSV.TO,CA2546771072,DSV.TO,DSV.TO,11.270000457763672,CAD,622.4359532785154,0.0,0.0,Seitwärts,0.0,0.0,78.9,27.9,Zyklus-neutral,11.07,100.0,0.0,152799680.0,7792443392.0,378971008.0,1.96,0.0,9.5,9.5,2042.0,36.13,"[0.0, 22.14, 0.0, 72.12, 35.12]",14.400001,16.3,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.0, ""risk_clean"": 0.0, ""regime_align"": 0.0, ""liquidity"": 0.20134228187919456, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Edelmetalle ⛏️,11.36,0.7940890277153378,0.5095012741717048,0.2429906966116609,3424404.75,38593043.10006809,5.843850010633469,0.9285232230903908,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.7499765808461887,Basic Materials,Silver,Canada,CAD,2.734732756903724,622.4359532785154
CA2568277834,DOLLY VARDEN,DV.V,CA2568277834,DV.V,DV.V,6.860000133514404,CAD,86.41304372473564,0.0,0.0,Seitwärts,0.0,0.0,60.7,32.7,Zyklus-neutral,-26.19,100.0,0.0,-20282864.0,565411840.0,1.0,-3.59,0.0,0.0,0.0,4598.0,12.31,"[0.0, 0.0, 0.0, 67.27, 100.0]",-111.962166,14.8,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.0, ""risk_clean"": 0.0, ""regime_align"": 0.0, ""liquidity"": 0.046979865771812124, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Edelmetalle ⛏️,7.53,0.6370857486672995,0.3989579936806333,0.3021738902832921,360648.95,2474051.84515183,5.65350000500679,0.2134076461376364,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.2824535178998486,Basic Materials,Silver,Canada,CAD,4.892969014188009,86.41304372473564
CA29258Y1034,ENDEAVOUR SILVER,EDR.TO,CA29258Y1034,EDR.TO,EDR.TO,18.979999542236328,CAD,262.21374754346954,0.0,0.0,Seitwärts,0.0,0.0,67.6,31.0,Zyklus-neutral,-20.46,31741.0,0.0,-69431752.0,4945538560.0,337136992.0,-1.4,167.3,-27.97,139.33,788.0,57.66,"[100.0, 0.0, 0.0, 68.98, 39.63]",12.301942,21.0,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.2, ""risk_clean"": 0.0, ""regime_align"": 0.0, ""liquidity"": 0.16778523489932884, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Edelmetalle ⛏️,18.71,0.7809722186307083,0.4822956760634436,0.3673758982292906,1860860.8,35319137.13216553,10.545599980354307,0.7998027212861001,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.701507267507959,Basic Materials,Silver,Canada,CAD,-0.9911347590059516,262.21374754346954
CA29446Y5020,EQUINOX GOLD,EQX.TO,CA29446Y5020,EQX.TO,EQX.TO,25.600000381469727,CAD,181.31867371784784,0.0,0.0,Seitwärts,0.0,0.0,69.9,55.9,Zyklus-neutral,1.41,34774.0,0.0,247383744.0,18424088576.0,2296356096.0,1.34,91.2,2.71,93.91,1074.0,60.19,"[100.0, 2.82, 0.0, 44.08, 30.27]",14.130916,28.4,LOW,"{""coverage"": 0.5714285714285714, ""confluence"": 0.2, ""risk_clean"": 0.3333333333333333, ""regime_align"": 0.0, ""liquidity"": 0.24161073825503354, ""weights"": {""coverage"": 0.25, ""confluence"": 0.25, ""risk_clean"": 0.2, ""regime_align"": 0.2, ""liquidity"": 0.1}}",Edelmetalle ⛏️,22.8,0.5427209321821115,0.3605630812233988,0.231984193295566,3110999.6,79641590.94675218,14.787950007915496,0.7311392294244232,bull,0.0525478378223671,bear,-0.3296602315009258,2026-02-27,0.398243002457991,Basic Materials,Gold,Canada,CAD,1.708384202909774,181.31867371784784
