Ticker,Name,Yahoo,Akt. Kurs,Währung,Perf %,Score,CRV,Elliott-Signal,Elliott-Einstieg,Elliott-Ausstieg,MC-Chance,Zyklus %,Zyklus-Status,ROE %,Debt/Equity,Div. Rendite %,FCF,Enterprise Value,Revenue,FCF Yield %,Growth %,Margin %,Rule of 40,Current Ratio,Institutional Ownership %,Radar Vector,PE,Sektor,Akt. Kurs [€]
GB0009223206,SMITH + NEP. DL,GB0009223206,1283.0,GBp,-0.31,45.16,0.0,Seitwärts,0.0,0.0,59.5,79.4,Zyklus-neutral,9.14,62.392,223.0,700875008.0,14034447360.0,5944000000.0,4.99,4.7,8.26,12.96,3.003,69.36,"[9.4, 18.28, 0.0, 20.59, 21.51]",15.463134,Hardware 💻,1243.0
SNOW,SNOWFLAKE INC. A,SNOW,177.82,USD,-2.61,3.64,0.0,Seitwärts,0.0,0.0,17.5,50.5,Zyklus-neutral,-53.09,125.912,0.0,1285029632.0,61811384320.0,4386721792.0,2.08,28.7,-30.76,-2.06,1.367,76.7,"[57.4, 0.0, 0.0, 49.51, 3.5]",109.48188,Gehirn,212.77
BE0003470755,SOLVAY S.A. A,BE0003470755,28.18,EUR,0.71,32.7,0.0,Seitwärts,0.0,0.0,63.6,100.0,Zyklus-Hoch,12.58,174.545,868.0,86625000.0,4766044672.0,4905999872.0,1.82,-3.9,3.14,-0.76,1.413,29.14,"[0.0, 25.16, 0.0, 0.0, 16.63]",10.566417,Experimente,25.84
LU1778762911,SPOTIFY TECH.,LU1778762911,486.79,USD,2.26,50.79,0.0,Seitwärts,0.0,0.0,21.6,88.7,Zyklus-Hoch,22.64,28.873,0.0,789000000.0,92863963136.0,16897000448.0,0.85,7.1,8.31,15.41,1.612,67.65,"[14.2, 45.28, 0.0, 11.32, 33.71]",24.863895,Medien & Digitales 📱,511.74
US8740391003,TAIWAN SEMICON.MANU.ADR/5,US8740391003,6445.82,MXN,3.78,39.66,0.0,Seitwärts,0.0,0.0,82.8,100.0,Zyklus-Hoch,35.22,18.187,114.0,619089625088.0,159076159848448.0,3809054031872.0,0.39,20.5,45.1,65.6,2.618,16.07,"[41.0, 70.44, 0.0, 0.0, 25.0]",0.0,Gehirn,5876.64
DE0007446007,TAKKT AG,,11.49,USD,0.35,9.6,0.0,Seitwärts,0.0,0.0,58.0,86.5,Zyklus-Hoch,0.0,72.403,752.0,0.0,1.0,28795244.0,0.0,0.0,-80.39,-80.39,0.247,14.27,"[0.0, 0.0, 0.0, 13.54, 25.0]",,Medien & Digitales 📱,3.67
KYG875721634,TENCENT HLDGS,KYG875721634,548.0,HKD,-0.54,65.36,0.0,Seitwärts,0.0,0.0,17.6,14.9,Zyklus-Tief,19.83,32.47,82.0,129573249024.0,5051467169792.0,729841008640.0,2.57,15.4,29.86,45.26,1.356,24.23,"[30.8, 39.66, 0.0, 85.08, 35.88]",15.545144,Gehirn,607.0
TER,TERADYNE INC.,TER,322.42,USD,5.75,52.96,0.0,Seitwärts,0.0,0.0,95.0,100.0,Zyklus-Hoch,19.73,10.131,17.0,276822624.0,47649693696.0,3190023936.0,0.58,43.9,17.37,61.27,1.757,105.52,"[87.8, 39.46, 0.0, 0.0, 1.7]",40.16111,Hardware 💻,239.62
CNE100006CQ4,UBTECH ROBOT.CORP.,CNE100006CQ4,127.6,HKD,-0.55,20.38,0.0,Seitwärts,0.0,0.0,51.1,7.6,Zyklus-Tief,-48.53,57.216,0.0,-506247008.0,56684457984.0,1439591936.0,-0.89,27.6,-70.91,-43.31,1.495,16.68,"[55.2, 0.0, 0.0, 92.4, 73.28]",-72.51779,Hardware 💻,141.1
UMI.BR,UMICORE,UMI.BR,19.13,EUR,-1.24,32.0,0.0,Seitwärts,0.0,0.0,64.6,0.0,Zyklus-Tief,7.19,142.464,258.0,972513728.0,6383084544.0,16115299328.0,15.24,16.8,0.8,17.6,1.385,41.44,"[33.6, 14.38, 0.0, 100.0, 15.3]",14.028217,Recycling,21.36
US9043111072,UNDER ARMOUR,US9043111072,6.97,USD,-1.62,20.94,0.0,Seitwärts,0.0,0.0,83.4,40.7,Zyklus-neutral,-30.39,117.662,0.0,-385754240.0,4243432192.0,4975792128.0,-9.09,-5.2,-10.44,-15.64,1.431,109.53,"[0.0, 0.0, 0.0, 59.27, 14.01]",30.554583,Konsum & Lifestyle,6.38
US91324P1021,UNITEDHEALTH,US91324P1021,279.05,USD,2.13,47.08,0.0,Seitwärts,0.0,0.0,35.1,38.7,Zyklus-neutral,12.54,77.08,324.0,15929249792.0,300506185728.0,447567003648.0,5.3,12.3,2.69,14.99,0.788,83.65,"[24.6, 25.08, 0.0, 61.25, 33.37]",13.934206,Pharma & Gesundheit,281.25
BRVALEACNOR0,VALE S.A.,BRVALEACNOR0,89.89,BRL,3.26,49.61,0.0,Warten,0.0,0.0,97.9,43.9,Zyklus-neutral,13.27,50.201,792.0,-951249984.0,458628300800.0,213320007680.0,-0.21,7.0,14.15,21.15,1.237,43.69,"[14.0, 26.54, 0.0, 56.14, 16.83]",8.319492,Fundament,85.14
CA92859G6085,VIZSLA SILVER,CA92859G6085,5.24,CAD,-5.24,27.92,0.0,Seitwärts,0.0,0.0,39.6,0.9,Zyklus-Tief,-3.22,100.0,0.0,-38075144.0,1614304768.0,1.0,-2.36,0.0,0.0,0.0,33.437,58.57,"[0.0, 0.0, 0.0, 99.07, 89.95]",-54.4126,Edelmetalle ⛏️,9.02
CA9628791027,WHEATON PREC.,CA9628791027,202.52,CAD,3.31,101.51,3.3,BUY,214.41,269.3,85.8,53.1,Zyklus-neutral,13.05,0.099,47.0,376391360.0,87851417600.0,1830402048.0,0.43,54.5,54.72,109.22,8.089,73.48,"[100.0, 26.1, 95.05, 66.85, 14.05]",36.05889,Edelmetalle ⛏️,202.53
KYG9830T1067,XIAOMI CORP. CL.B,KYG9830T1067,37.1,HKD,4.27,56.54,0.0,Seitwärts,0.0,0.0,28.3,100.0,Zyklus-Hoch,19.86,10.389,0.0,32390629376.0,878641086464.0,449375305728.0,3.69,22.3,9.82,32.12,1.317,24.98,"[44.6, 39.72, 0.0, 0.0, 42.12]",18.093994,Hardware 💻,35.56
YASKY,YASKAWA EL. CORP.,YASKY,73.33,USD,3.08,24.66,0.0,Seitwärts,0.0,0.0,88.3,96.8,Zyklus-Hoch,0.0,24.901,129.0,0.0,101908422656.0,539219984384.0,0.0,0.0,6.87,6.87,2.139,0.0,"[0.0, 0.0, 0.0, 3.16, 25.0]",0.0,Hardware 💻,66.06
JE00BF50RG45,YELLOW CAKE PLC,JE00BF50RG45,646.5,GBp,1.02,31.0,0.0,Warten,0.0,0.0,86.1,13.7,Zyklus-Tief,-0.45,100.0,0.0,-3478875.0,1350797696.0,5420000.0,-0.26,0.0,-153.91,-153.91,35.049,56.1,"[0.0, 0.0, 0.0, 86.33, 100.0]",-221.1321,Energie,679.0
US98956A1051,ZETA GLOBAL,US98956A1051,16.35,USD,-4.78,81.69,9.51,BUY,24.9,31.9,37.8,19.6,Zyklus-Tief,-3.92,30.196,0.0,160941248.0,3953812480.0,1224702976.0,4.07,25.7,-1.86,23.84,3.011,85.09,"[51.4, 0.0, 0.0, 100.0, 58.3]",16.895733,Medien & Digitales 📱,20.1
CNE100000502,ZIJIN MINING,CNE100000502,43.52,HKD,2.84,60.58,0.0,Seitwärts,0.0,0.0,83.3,51.4,Zyklus-neutral,28.01,74.84,129.0,31392294912.0,1307077115904.0,327443021824.0,2.4,8.1,13.91,22.01,1.199,46.84,"[16.2, 56.02, 0.0, 48.63, 21.6]",16.562038,Fundament,43.4
VOW3.DE,Volkswagen AG Vz.,VOW3.DE,103.55,EUR,-0.96,37.74,0.0,Seitwärts,0.0,0.0,56.3,49.9,Zyklus-neutral,3.58,130.129,608.0,-83611090944.0,262762414080.0,326045990912.0,-31.82,2.3,2.26,4.56,1.096,27.73,"[4.6, 7.16, 0.0, 50.09, 29.07]",4.788028,Andere 🌐,102.3
ADA-EUR,CARDANO (KRYPTO),ADA-EUR,0.22,EUR,-1.7,16.9,0.0,Seitwärts,0.0,0.0,19.5,29.0,Zyklus-neutral,0.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 71.02, 25.0]",0.0,Krypto 🪙,0.3
DOGE-EUR,DOGECOIN (KRYPTO),DOGE-EUR,0.08,EUR,-1.86,17.3,0.0,Seitwärts,0.0,0.0,21.5,23.9,Zyklus-neutral,0.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 76.07, 25.0]",0.0,Krypto 🪙,0.1
SOL-EUR,SOLANA (KRYPTO),SOL-EUR,67.01,EUR,-3.93,15.64,0.0,Seitwärts,0.0,0.0,13.2,28.7,Zyklus-neutral,0.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 71.33, 25.0]",0.0,Krypto 🪙,105.31
XRP-EUR,XRP (KRYPTO),XRP-EUR,1.16,EUR,-1.58,17.82,0.0,Seitwärts,0.0,0.0,24.1,31.8,Zyklus-neutral,0.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"[0.0, 0.0, 0.0, 68.22, 25.0]",0.0,Krypto 🪙,1.6
META,META PLATFORMS INC,META,668.21,USD,-0.37,70.12,0.0,Seitwärts,0.0,0.0,63.3,36.6,Zyklus-neutral,30.24,39.164,31.0,23432374272.0,1700112498688.0,200965996544.0,1.38,23.8,30.08,53.88,2.599,79.56,"[47.6, 60.48, 0.0, 63.43, 29.97]",18.73301,Tech 💻,673.89
XOM,EXXON MOBIL CORP,XOM,155.28,USD,2.43,47.83,0.0,BUY,125.93,136.59,94.2,100.0,Zyklus-Hoch,11.08,16.329,272.0,12923750400.0,673590607872.0,323904995328.0,1.92,-1.3,8.9,7.6,1.153,67.35,"[0.0, 22.16, 0.0, 20.0, 11.08]",18.585361,Energie ⚡,136.58
ORCL,ORACLE CORP,ORCL,156.54,USD,-2.1,55.79,0.0,Seitwärts,0.0,0.0,18.6,55.0,Zyklus-neutral,69.03,432.511,125.0,-10208000000.0,571854749696.0,61015998464.0,-1.79,14.2,25.28,39.48,0.909,45.17,"[28.4, 100.0, 0.0, 45.01, 52.26]",19.804655,Tech 💻,174.77
MU,MICRON TECHNOLOGY INC,MU,373.25,USD,-2.67,60.56,0.0,Seitwärts,0.0,0.0,79.3,50.0,Zyklus-neutral,22.55,21.244,12.0,444249984.0,422271320064.0,42311999488.0,0.11,56.7,28.15,84.85,2.46,84.01,"[100.0, 45.1, 0.0, 50.0, 17.05]",9.414937,Tech 💻,414.04
CVX,CHEVRON CORP,CVX,185.38,USD,1.71,45.05,0.0,Seitwärts,0.0,0.0,85.4,92.8,Zyklus-Hoch,7.16,21.239,391.0,0.0,400448815104.0,186030997504.0,0.0,-6.0,6.61,0.61,1.0,69.23,"[0.0, 14.32, 0.0, 7.23, 13.89]",20.22469,Energie ⚡,168.91
PM,PHILIP MORRIS INTERNATIONAL INC,PM,186.2,USD,1.92,42.98,0.0,Seitwärts,0.0,0.0,87.6,74.4,Zyklus-neutral,0.0,100.0,322.0,8938874880.0,331078795264.0,40647999488.0,2.7,6.8,27.92,34.72,0.958,82.96,"[13.6, 0.0, 0.0, 25.61, 15.26]",20.326406,Konsum 🚬,177.68
ISRG,INTUITIVE SURGICAL INC,ISRG,495.24,USD,0.02,42.21,0.0,Seitwärts,0.0,0.0,26.7,51.4,Zyklus-neutral,16.69,0.953,0.0,2274837504.0,170196434944.0,10064700416.0,1.34,18.8,28.38,47.18,4.875,88.76,"[37.6, 33.38, 52.35, 48.56, 15.11]",43.313038,Pharma 🧪,526.07
BLK,BLACKROCK INC,BLK,1081.46,USD,-0.58,61.6,0.0,Seitwärts,0.0,0.0,55.3,23.4,Zyklus-neutral,10.69,24.32,192.0,0.0,177495670784.0,24216000512.0,0.0,23.4,22.93,46.33,1.0,84.04,"[46.8, 21.38, 0.0, 76.64, 27.7]",17.447355,Finanzen 🏦,1107.99
SYK,STRYKER CORP,SYK,361.85,USD,0.22,47.98,0.0,Seitwärts,0.0,0.0,53.3,49.5,Zyklus-neutral,15.08,66.276,97.0,5600750080.0,148864450560.0,25116000256.0,3.76,11.4,12.92,24.32,1.893,82.35,"[22.8, 30.16, 0.0, 50.5, 22.83]",21.62974,Pharma 🧪,354.05
VALE,VALE SA,VALE,17.31,USD,3.41,48.29,0.0,Seitwärts,0.0,0.0,91.3,58.2,Zyklus-neutral,13.27,50.201,746.0,-951249984.0,158490378240.0,213320007680.0,-0.6,7.0,14.15,21.15,1.237,20.26,"[14.0, 26.54, 0.0, 41.76, 16.56]",7.810984,Mining ⛏️,16.39
NXP,NXP SEMICONDUCTORS NV,NXP,14.43,USD,0.18,19.09,0.0,Seitwärts,0.0,0.0,55.2,100.0,Zyklus-Hoch,1.13,100.0,446.0,0.0,741452096.0,34414504.0,0.0,9.1,24.21,33.31,4.03,15.78,"[18.2, 2.26, 0.0, 0.0, 25.0]",0.0,Tech 💻,13.93
BIDU,BAIDU INC,BIDU,144.64,USD,-2.05,104.6,4.34,BUY,165.3,207.42,72.5,18.7,Zyklus-Tief,3.08,33.81,0.0,21750999040.0,396094570496.0,130462998528.0,5.49,-7.1,6.9,-0.2,1.907,23.18,"[0.0, 6.16, 0.0, 100.0, 27.41]",17.453993,Tech 💻,158.08
OXY,OCCIDENTAL PETROLEUM CORP,OXY,47.15,USD,1.91,24.18,0.87,BUY,46.95,51.24,66.0,88.3,Zyklus-Hoch,5.96,62.221,207.0,3033125120.0,75094687744.0,26601000960.0,4.04,-7.7,8.17,0.47,0.935,51.45,"[0.0, 11.92, 0.0, 31.74, 5.65]",42.736477,Energie ⚡,44.53
TME,TENCENT MUSIC ENTERTAINMENT GROUP,TME,16.89,USD,0.03,63.44,0.0,Seitwärts,0.0,0.0,31.7,86.2,Zyklus-Hoch,14.79,4.524,107.0,5382750208.0,36124852224.0,31719000064.0,14.9,20.6,34.08,54.68,2.085,64.08,"[41.2, 29.58, 0.0, 13.78, 46.45]",16.83135,Tech 💻,16.98
KEP,KOREA ELECTRIC POWER CORP,KEP,21.32,USD,2.01,54.92,0.0,Seitwärts,0.0,0.0,75.1,17.8,Zyklus-Tief,19.12,279.916,45.0,1394938609664.0,127486264344576.0,97275598602240.0,1.09,5.6,8.47,14.07,0.481,1.78,"[11.2, 38.24, 0.0, 82.18, 29.57]",3.4377258,Energie ⚡,21.35
ON,ON SEMICONDUCTOR CORP,ON,70.37,USD,4.44,77.0,1.26,BUY,66.86,79.21,90.3,100.0,Zyklus-Hoch,1.5,41.853,0.0,1559524992.0,27239403520.0,5995400192.0,5.73,-11.2,2.02,-9.18,4.522,112.57,"[0.0, 3.0, 0.0, 20.0, 14.55]",17.48588,Tech 💻,63.02
INCY,INCYTE CORP,INCY,98.96,USD,-1.09,53.78,0.0,Seitwärts,0.0,0.0,44.2,0.0,Zyklus-Tief,29.87,0.672,0.0,0.0,16208082944.0,5141241856.0,0.0,27.8,25.03,52.83,3.295,105.7,"[55.6, 59.74, 66.4, 100.0, 22.2]",11.209152,Pharma 🧪,103.99
PKX,POSCO HOLDINGS INC,PKX,65.16,USD,2.24,79.85,2.58,BUY,65.49,81.98,72.9,60.1,Zyklus-neutral,0.81,45.676,277.0,0.0,19552163332096.0,69095001161728.0,0.0,-5.4,0.95,-4.45,1.896,2.67,"[0.0, 1.62, 0.0, 59.94, 21.83]",12.939175,Mining ⛏️,63.17
SNN,SMITH & NEPHEW PLC,SNN,35.27,USD,-0.31,32.38,0.0,Seitwärts,0.0,0.0,68.6,89.9,Zyklus-Hoch,9.14,62.392,215.0,700875008.0,33722298368.0,5944000000.0,2.08,4.7,8.26,12.96,3.003,7.71,"[9.4, 18.28, 0.0, 10.12, 16.88]",19.501272,Pharma 🧪,34.07
UEC,URANIUM ENERGY CORP,UEC,16.01,USD,-1.99,14.97,0.0,Seitwärts,0.0,0.0,72.6,10.2,Zyklus-Tief,-7.29,0.147,0.0,-61173248.0,7445595648.0,49750000.0,-0.82,0.0,-156.46,-156.46,27.716,84.52,"[0.0, 0.0, 92.65, 89.83, 0.0]",220.89655,Mining ⛏️,19.25
QS,QUANTUMSCAPE CORP,QS,8.77,USD,-1.9,11.68,0.0,Seitwärts,0.0,0.0,16.9,57.2,Zyklus-neutral,-38.65,6.004,0.0,-116634872.0,4444975104.0,1.0,-2.62,0.0,0.0,0.0,21.138,33.59,"[0.0, 0.0, 0.0, 42.8, 37.78]",-12.967235,Industrie/Auto 🚗,10.14
FLNC,FLUENCE ENERGY INC,FLNC,17.85,USD,-6.0,-5.89,0.0,Seitwärts,0.0,0.0,52.8,0.0,Zyklus-Tief,-14.46,82.778,0.0,-98396624.0,2566774016.0,2551276032.0,-3.83,154.4,-2.04,152.36,1.483,77.46,"[100.0, 0.0, 0.0, 100.0, 0.0]",82.21639,Energie ⚡,29.16
CSTM,CONSTELLIUM SE,CSTM,24.66,USD,0.08,30.62,0.0,Warten,0.0,0.0,96.9,32.4,Zyklus-neutral,12.18,247.045,0.0,27942560.0,5423435776.0,7968999936.0,0.52,20.2,1.42,21.62,1.277,96.01,"[40.4, 24.36, 0.0, 67.62, 17.44]",15.391747,Mining ⛏️,22.72
NRDS,NERDWALLET INC,NRDS,9.7,USD,-5.55,46.26,0.0,Seitwärts,0.0,0.0,11.7,2.2,Zyklus-Tief,20.23,3.554,0.0,65625000.0,640464896.0,795000000.0,10.25,12.4,9.22,21.62,3.698,77.2,"[24.8, 40.46, 0.0, 97.8, 55.06]",6.549894,Finanzen 🏦,12.38
LGO,LARGO INC,LGO,1.87,USD,11.51,75.82,1.69,BUY,1.51,2.19,88.8,100.0,Zyklus-Hoch,-38.41,77.781,0.0,5307000.0,244189840.0,111884000.0,2.17,11.2,-57.33,-46.13,0.496,51.54,"[22.4, 0.0, 0.0, 20.0, 47.33]",20.814444,Mining ⛏️,1.35
KO,Coca-Cola,KO,78.56,USD,2.28,54.21,0.0,Seitwärts,0.0,0.0,83.2,80.7,Zyklus-Hoch,43.32,132.726,266.0,-2210500096.0,362228613120.0,47941001216.0,-0.61,2.4,27.34,29.74,1.459,66.3,"[4.8, 86.64, 0.0, 19.35, 15.24]",22.637188,Konsum 🥤,73.26
JNJ,Johnson & Johnson,JNJ,240.87,USD,1.06,55.59,0.0,Seitwärts,0.0,0.0,97.7,82.0,Zyklus-Hoch,35.56,57.766,218.0,0.0,601488490496.0,94193000448.0,0.0,9.1,28.46,37.56,1.0,75.77,"[18.2, 71.12, 0.0, 18.02, 13.41]",19.199652,Pharma 🧪,224.44
PG,Procter & Gamble,PG,159.49,USD,0.26,48.0,0.0,Seitwärts,0.0,0.0,72.5,83.7,Zyklus-Hoch,31.56,68.719,266.0,13253374976.0,396559024128.0,85259001856.0,3.34,1.5,19.3,20.8,0.724,70.8,"[3.0, 63.12, 0.0, 16.33, 16.62]",21.750723,Konsum 🧼,148.27
ABT,Abbott Laboratories,ABT,113.09,USD,0.72,42.02,0.0,Seitwärts,0.0,0.0,20.1,88.3,Zyklus-Hoch,13.16,25.31,224.0,0.0,200792539136.0,44328001536.0,0.0,4.4,14.72,19.12,1.0,81.72,"[8.8, 26.32, 0.0, 11.71, 24.92]",18.113348,Pharma 🧪,107.46
PEP,PepsiCo,PEP,168.46,USD,0.89,39.3,0.0,Seitwärts,0.0,0.0,85.4,79.2,Zyklus-neutral,42.85,258.081,341.0,8232750080.0,271828385792.0,93924999168.0,3.03,5.6,8.77,14.37,0.853,80.03,"[11.2, 85.7, 0.0, 20.79, 15.96]",18.467503,Konsum 🥨,148.02
HMY,Harmony Gold Mining Company,HMY,21.48,USD,0.94,60.65,0.0,Seitwärts,0.0,0.0,71.8,30.6,Zyklus-neutral,32.52,4.925,98.0,10437374976.0,2812910080.0,73896001536.0,371.05,22.7,19.46,42.16,1.72,21.96,"[45.4, 65.04, 0.0, 69.45, 26.74]",8.876033,Tech 💻,
RHM.DE,Rheinmetall AG,RHM.DE,1592.0,EUR,-2.27,81.83,5.84,BUY,1966.0,2521.79,36.9,14.6,Zyklus-Tief,22.42,47.166,50.0,-1625000.0,76487131136.0,10997999616.0,-0.0,13.3,7.64,20.94,1.135,43.99,"[26.6, 44.84, 0.0, 100.0, 22.11]",40.147793,,
STLA,Stellantis N.V.,STLA,7.65,USD,2.27,40.68,0.0,Seitwärts,0.0,0.0,28.7,23.3,Zyklus-neutral,-3.06,55.559,1058.0,-8076749824.0,31891654656.0,146121998336.0,-25.33,-12.7,-1.64,-14.34,1.061,46.3,"[0.0, 0.0, 0.0, 76.69, 44.21]",4.402447,Konsum 🥨,
SMX,SMX (Security Matters) Public,SMX,16.2,USD,0.81,12.16,0.0,Warten,0.0,0.0,70.8,65.8,Zyklus-neutral,-210.65,50.074,0.0,-14249375.0,22898526.0,1.0,-62.23,0.0,0.0,0.0,0.079,0.07,"[0.0, 0.0, 0.0, 34.17, 25.0]",0.0,Tech 💻,
DVLT,Datavault AI Inc.,DVLT,0.74,USD,0.0,22.94,0.0,Seitwärts,0.0,0.0,26.0,71.5,Zyklus-neutral,-165.72,29.069,0.0,-28070000.0,238018480.0,6170000.0,-11.79,147.8,0.0,147.8,0.684,3.09,"[100.0, 0.0, 0.0, 28.46, 100.0]",0.0,Tech 💻,
PGY,Pagaya Technologies Ltd.,PGY,13.07,USD,-4.46,48.4,0.0,Seitwärts,0.0,0.0,16.5,0.0,Zyklus-Tief,12.96,146.636,0.0,230969872.0,904331968.0,1301360000.0,25.54,19.8,6.25,26.05,14.26,64.01,"[39.6, 25.92, 0.0, 100.0, 81.22]",3.8820474,,
MELI,MercadoLibre Inc.,MELI,2024.36,USD,-0.05,45.58,0.0,Seitwärts,0.0,0.0,46.9,20.8,Zyklus-neutral,40.65,159.296,0.0,-4066249984.0,108489015296.0,26193000448.0,-3.75,39.5,7.93,47.43,1.174,84.93,"[79.0, 81.3, 0.0, 79.2, 27.32]",33.95798,Konsum 🥨,
US88160R1014,Tesla,TSLA,427.58,USD,0.56,0.2,0.0,Seitwärts,0.0,0.0,56.1,39.6,Zyklus-neutral,4.93,17.763,0.0,3732624896.0,1566959599616.0,94827003904.0,0.24,-3.1,4.0,0.9,2.164,44.59,"[0.0, 9.86, 0.0, 60.44, 0.0]",152.47368,Tech 💻,
US14154A1025,Cardinal Infrastructure,CDNL,25.2,USD,-1.18,28.54,0.0,Datenmangel,0.0,0.0,58.5,50.0,Zyklus-neutral,0.0,230.784,0.0,0.0,77877880.0,395162976.0,0.0,60.2,6.11,66.31,1.203,35.73,"[100.0, 0.0, 0.0, 50.0, 22.58]",19.92095,,
US75644T1007,Red Cat Holdings,RCAT,12.07,USD,-4.36,45.13,0.0,Seitwärts,0.0,0.0,74.5,7.4,Zyklus-Tief,0.0,8.852,0.0,0.0,1322458240.0,7443942.0,0.0,646.4,0.0,646.4,10.416,45.17,"[100.0, 0.0, 0.0, 92.62, 75.9]",-40.23333,,
US81764X1037,ServiceTitan,TTAN,60.99,USD,-5.68,30.39,0.0,Seitwärts,0.0,0.0,16.3,22.0,Zyklus-neutral,-16.86,10.505,0.0,124609000.0,5720048128.0,916259008.0,2.18,25.0,-23.91,1.09,4.139,96.02,"[50.0, 0.0, 0.0, 78.0, 56.85]",55.505,Tech 💻,
US0381692070,Applied Digital,APLD,36.41,USD,-2.82,35.18,0.0,Seitwärts,0.0,0.0,68.8,45.3,Zyklus-neutral,-7.9,125.912,0.0,-1606530304.0,11793511424.0,263986000.0,-13.62,250.1,-47.35,202.75,4.823,66.22,"[100.0, 0.0, 0.0, 54.66, 57.51]",-40.684357,Tech 💻,
US60741F1049,Mobileye Global,MBLY,9.66,USD,2.82,39.03,0.0,Seitwärts,0.0,0.0,25.4,54.1,Zyklus-neutral,-3.27,0.564,0.0,632000000.0,5882599936.0,1894000000.0,10.74,-9.0,-20.7,-29.7,6.103,68.32,"[0.0, 0.0, 71.8, 45.87, 43.32]",25.205372,Tech 💻,
US3493811034,Figure Technology Solutions,FIGR,36.28,USD,-6.68,38.83,0.0,Seitwärts,0.0,0.0,42.8,0.0,Zyklus-Tief,0.0,68.77,0.0,0.0,8038661632.0,382600000.0,0.0,54.8,32.46,87.26,2.261,53.13,"[100.0, 0.0, 0.0, 100.0, 41.6]",35.651104,Finanzen 🏦,
US3795772082,Globus Medical,GMED,88.2,USD,-0.59,48.96,0.0,Seitwärts,0.0,0.0,60.5,20.3,Zyklus-neutral,10.01,2.731,0.0,445762752.0,11603802112.0,2769804032.0,3.84,22.9,15.3,38.2,4.13,106.48,"[45.8, 20.02, 0.0, 79.7, 25.36]",20.779634,Pharma 🧪,
US88023B1035,Tempus AI,TEM,53.28,USD,-4.66,13.94,0.0,Seitwärts,0.0,0.0,22.6,19.9,Zyklus-Tief,-72.61,263.048,0.0,-108350376.0,10517640192.0,1105257984.0,-1.03,84.7,-18.45,66.25,3.275,55.86,"[100.0, 0.0, 0.0, 80.13, 100.0]",-113.95722,Pharma 🧪,
CA7142661031,Perpetua Resources,PPTA,30.38,USD,2.7,35.87,0.0,Seitwärts,0.0,0.0,73.1,41.0,Zyklus-neutral,-14.54,0.009,0.0,-62575000.0,3159208448.0,1.0,-1.98,0.0,0.0,0.0,42.247,71.0,"[0.0, 0.0, 99.55, 58.99, 100.0]",-446.76468,Edelmetalle ⛏️,
