active,symbol,name,isin,asset_type,category,sector,industry,country,currency,pillar_primary,bucket_type,pillar_confidence,pillar_reason,pillar_tags
1,MBLY,Mobileye Global,US60741F1049,stock,Tech 💻,Consumer Cyclical,Auto Parts,Israel,USD,,none,,,
1,FIGR,Figure Technology Solutions,US3493811034,stock,Finanzen 🏦,Financial Services,Capital Markets,United States,USD,,none,,,
1,GMED,Globus Medical,US3795772082,stock,Pharma 🧪,Healthcare,Medical Devices,United States,USD,,none,,,
1,TEM,Tempus AI,US88023B1035,stock,Pharma 🧪,Healthcare,Health Information Services,United States,USD,,none,,,
1,PPTA,Perpetua Resources,CA7142661031,stock,Edelmetalle ⛏️,Basic Materials,Other Precious Metals & Mining,United States,USD,Fundament,pillar,55,heuristic from official taxonomy,"materials, mining"
1,AAPL,Apple Inc.,US0378331005,stock,,Technology,Consumer Electronics,United States,USD,,none,,,
1,BTC-USD,Bitcoin,,crypto,,Cryptocurrency,Digital Currency,Global,USD,,none,,,
1,ETH-USD,Ethereum,,crypto,,Cryptocurrency,Digital Currency,Global,USD,,none,,,
1,ADA-USD,Cardano,,crypto,,Cryptocurrency,Digital Currency,Global,USD,,none,,,
1,LRCX,Lam Research Corporation,US5128073062,stock,,Technology,Semiconductor Equipment & Materials,United States,,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,KLAC,KLA Corporation,US4824801009,stock,,Technology,Semiconductor Equipment & Materials,United States,,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,AMKR,"Amkor Technology, Inc.",US0316521006,stock,,Technology,Semiconductor Equipment & Materials,United States,,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,ASX,"ASE Technology Holding Co., Ltd.",US00215W1009,stock,,Technology,Semiconductors,Taiwan,,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,0700.HK,Tencent Holdings Limited,KYG875721634,stock,,Communication Services,Internet Content & Information,China,,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,9888.HK,"Baidu, Inc. Class A",KYG070341048,stock,,Communication Services,Internet Content & Information,China,,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,9988.HK,Alibaba Group Holding Limited,KYG017191142,stock,,Consumer Cyclical,Internet Retail,Hong Kong,,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,QBTS,D-Wave Quantum Inc.,US26740W1099,stock,,Technology,Computer Hardware,United States,,,none,,,
1,RKLB,"Rocket Lab USA, Inc.",US7731211089,stock,,Industrials,Aerospace & Defense,United States,,,none,,,
1,ASTS,"AST SpaceMobile, Inc.",US00217D1000,stock,,Technology,Communication Equipment,United States,,,none,,,
1,PL,Planet Labs PBC,US72703X1063,stock,,Industrials,Aerospace & Defense,United States,,,none,,,
1,RGTI,"Rigetti Computing, Inc.",US76655K1034,stock,,Technology,Computer Hardware,United States,,,none,,,
1,SYM,Symbotic Inc.,US87151X1019,stock,,Industrials,Specialty Industrial Machinery,United States,,Hardware,pillar,50,heuristic from official taxonomy,"robotics, automation"
1,ACB.TO,Aurora Cannabis,CA05156X8504,stock,Pharma 🧪,Healthcare,Medical Devices,Canada,,,,,,
1,000660.KS,SK hynix Inc.,KR7000660001,stock,,Technology,Semiconductors,South Korea,KRW,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,005930.KS,"Samsung Electronics Co., Ltd.",KR7005930003,stock,,Technology,Semiconductors,South Korea,KRW,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,8035.T,Tokyo Electron Limited,JP3571400005,stock,,Technology,Semiconductor Equipment & Materials,Japan,JPY,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,AMAT,"Applied Materials, Inc.",US0382221051,stock,,Technology,Semiconductor Equipment & Materials,United States,USD,Gehirn,pillar,55,heuristic from official taxonomy,"ai, software, semis"
1,RACE,Ferrari N.V.,NL0011585146,stock,,Consumer Cyclical,Auto Manufacturers,Italy,USD,,none,,,
